using heldout data set: /scratch/cluster/ianyen/data/multilabel/rcv1_regions.subtest.100
D=47237
K=225
N=20835
d=75.9802
r=6
i=0, a_nnz=1.98541, ever_a_nnz=1.98541, b_nnz=2.33045, uni_search=0.580955, uni_subSolve=0.210002, uni_maintain_time=0.0488775, bi_search=0.0405019, bi_subSolve=0.0263677, bi_maintain_time=0.0157058, admm_maintain=0.0368938, area4=1.00451, infea=928.108, d_obj=-3229.44, overall time=1.33048
i=1, a_nnz=2.49642, ever_a_nnz=2.51874, b_nnz=4.03811, uni_search=0.856636, uni_subSolve=0.271722, uni_maintain_time=0.0522092, bi_search=0.0642751, bi_subSolve=0.040265, bi_maintain_time=0.0267144, admm_maintain=0.0554395, area4=1.01037, infea=1136.16, d_obj=-3866.35, overall time=2.83456
i=2, a_nnz=2.93271, ever_a_nnz=2.99088, b_nnz=5.75623, uni_search=1.02552, uni_subSolve=0.316409, uni_maintain_time=0.0552498, bi_search=0.0741295, bi_subSolve=0.0569171, bi_maintain_time=0.0353569, admm_maintain=0.0724212, area4=1.01507, infea=1203.35, d_obj=-1729.4, overall time=4.63987
i=3, a_nnz=3.31164, ever_a_nnz=3.41171, b_nnz=7.46777, uni_search=1.19938, uni_subSolve=0.368915, uni_maintain_time=0.0602939, bi_search=0.0854512, bi_subSolve=0.0722235, bi_maintain_time=0.0430783, admm_maintain=0.0846414, area4=1.02016, infea=1118.77, d_obj=310.333, overall time=6.71433
i=4, a_nnz=3.65486, ever_a_nnz=3.7989, b_nnz=9.19294, uni_search=1.32555, uni_subSolve=0.392589, uni_maintain_time=0.0634203, bi_search=0.0982632, bi_subSolve=0.0882655, bi_maintain_time=0.0490575, admm_maintain=0.107137, area4=1.02621, infea=1057.47, d_obj=1820.54, overall time=9.02506
i=5, a_nnz=3.96933, ever_a_nnz=4.16189, b_nnz=10.9581, uni_search=1.43446, uni_subSolve=0.426092, uni_maintain_time=0.0665163, bi_search=0.109679, bi_subSolve=0.1034, bi_maintain_time=0.0545764, admm_maintain=0.126574, area4=1.02957, infea=1050.49, d_obj=2847.33, overall time=11.5505
i=6, a_nnz=4.2611, ever_a_nnz=4.5065, b_nnz=12.7374, uni_search=1.53832, uni_subSolve=0.449101, uni_maintain_time=0.0695344, bi_search=0.121025, bi_subSolve=0.118251, bi_maintain_time=0.0599884, admm_maintain=0.144927, area4=1.02861, infea=1094.49, d_obj=3683.59, overall time=14.2769
i=7, a_nnz=4.53228, ever_a_nnz=4.83686, b_nnz=14.5661, uni_search=1.62221, uni_subSolve=0.476617, uni_maintain_time=0.0720898, bi_search=0.134987, bi_subSolve=0.135584, bi_maintain_time=0.0675856, admm_maintain=0.154566, area4=1.02985, infea=1126.8, d_obj=4570.41, overall time=17.1709
i=8, a_nnz=4.78695, ever_a_nnz=5.16347, b_nnz=16.4922, uni_search=1.73665, uni_subSolve=0.524681, uni_maintain_time=0.0756473, bi_search=0.134514, bi_subSolve=0.142216, bi_maintain_time=0.0688833, admm_maintain=0.165937, area4=1.03129, infea=1155.42, d_obj=5641.14, overall time=20.262
i=9, a_nnz=5.01733, ever_a_nnz=5.4742, b_nnz=18.461, uni_search=1.82914, uni_subSolve=0.535538, uni_maintain_time=0.0783974, bi_search=0.155811, bi_subSolve=0.165232, bi_maintain_time=0.0751567, admm_maintain=0.18425, area4=1.02861, infea=1145.7, d_obj=6854.01, p_obj=910409., heldout Acc=0.986667, overall time=23.5571
i=10, a_nnz=5.23101, ever_a_nnz=5.77197, b_nnz=20.5356, uni_search=1.72329, uni_subSolve=0.454073, uni_maintain_time=0.0677114, bi_search=0.134547, bi_subSolve=0.154023, bi_maintain_time=0.0718535, admm_maintain=0.158644, area4=1.03177, infea=1123.83, d_obj=8104.6, overall time=26.5347
